university,college
"Acharya Nagarjuna University, Guntur ",Thotakura RamaKotaiah College of Education
"Acharya Nagarjuna University, Guntur ","Tiyyagura Sitarami Reddy Degree College, Piduguralla "
"Acharya Nagarjuna University, Guntur ",T.J.P.S. College
"Acharya Nagarjuna University, Guntur ",T.R.R. Govt. Degree College
"Acharya Nagarjuna University, Guntur ",T.R.R. & S. Degree College
"Acharya Nagarjuna University, Guntur ","Vagdevi College of Pharmacy, Gurazala "
"Acharya Nagarjuna University, Guntur ","Vagdevi Degree College, Rentachintala "
"Acharya Nagarjuna University, Guntur ",Vasavi Degree College for Women
"Acharya Nagarjuna University, Guntur ","Vasavi MBA & MCA College, Kandulapuram "
"Acharya Nagarjuna University, Guntur ",Vellanki College of Education
"Acharya Nagarjuna University, Guntur ",Venigalla Jayasri Ram College
"Acharya Nagarjuna University, Guntur ","Venkateswara College of Eduation, Besthavaripeta "
"Acharya Nagarjuna University, Guntur ","Victoria College of Pharmacy, Nallapadu "
"Acharya Nagarjuna University, Guntur ","Vidya Kendran Degree College, Sattenapalli "
"Acharya Nagarjuna University, Guntur ","Vignan Degree College, Chemakurthi "
"Acharya Nagarjuna University, Guntur ","Vignan Degree College, Guntur "
"Acharya Nagarjuna University, Guntur ","Vijaya Jyothi Degree College, Mangalagiri "
"Acharya Nagarjuna University, Guntur ",Vijayateja Degree College
"Acharya Nagarjuna University, Guntur ","Vikas Degree College, Macherla "
"Acharya Nagarjuna University, Guntur ",Vinukonda B.Ed. College
"Acharya Nagarjuna University, Guntur ",Vision Institute of Sciences & Technology
"Acharya Nagarjuna University, Guntur ",Viveka Arts & Science Degree College
"Acharya Nagarjuna University, Guntur ","Viveka College of Education, Vaddesangam "
"Acharya Nagarjuna University, Guntur ","Vivekananda College of Education, Kandukur "
"Acharya Nagarjuna University, Guntur ","VJ&BL Degree College, Mangalagiri "
"Acharya Nagarjuna University, Guntur ",V.R.S. & Y.R.N. College
"Acharya Nagarjuna University, Guntur ",V.S.R. & A.M. Degree College
"Acharya Nagarjuna University, Guntur ",V.S.R. & N.V.R. College
"Acharya Nagarjuna University, Guntur ",V.T.J.M. & I.V.T.R. Degree College
"Acharya Nagarjuna University, Guntur ",V.V. & M. College
"Acharya Nagarjuna University, Guntur ",Vyshnavi College of Education
"Acharya Nagarjuna University, Guntur ","Vyshnavi Degree College, Thripurantakam "
"Acharya Nagarjuna University, Guntur ",Y.A. Govt. College for Women
"Acharya Nagarjuna University, Guntur ","Yaswanth College of Education,Bestavaripeta "
"Adikavi Nannaya University, Rajahmundry, East Godawari ",ABHYUDAYA DEGREE COLLEGE
"Adikavi Nannaya University, Rajahmundry, East Godawari ",Adarsa Degree College
"Adikavi Nannaya University, Rajahmundry, East Godawari ","Aditya Degree College, Cinema Road, Tatipaka "
"Adikavi Nannaya University, Rajahmundry, East Godawari ","Aditya Degree College for Women, Rajahmundry "
"Adikavi Nannaya University, Rajahmundry, East Godawari ","Aditya Degree College for Women, Santinagar, Kakinada "
"Adikavi Nannaya University, Rajahmundry, East Godawari ","ADITYA DEGREE COLLEGE, PALAKOL "
"Adikavi Nannaya University, Rajahmundry, East Godawari ","Aditya Degree College, Santinagar, Kakinada "
